Index,revenue,original_title,cast
1031,29657751,The Raven," Alice Eve,  Kevin McNally,  Brendan Gleeson, John Cusack"
1032,59418613,Rock of Ages," Alec Baldwin, Tom Cruise,  Diego Boneta,  Bryan Cranston,  Julianne Hough"
1033,2106557,Stolen," Malin Ã…kerman,  Sami Gayle,  Danny Huston,  Josh Lucas, Nicolas Cage"
1034,118338361,The Pirates! In an Adventure with Scientists!," Salma Hayek,  Brendan Gleeson, Hugh Grant"
1035,28258060,The Master," Amy Adams, Joaquin Phoenix,  Philip Seymour Hoffman,  Laura Dern"
1036,53909751,The Five-Year Engagement,"Emily Blunt,  Chris Pratt,  Jason Segel,  Rhys Ifans,  Alison Brie"
1037,88058786,This Is 40," Megan Fox,  Maude Apatow,  Jason Segel,  Leslie Mann"
1038,32204030,Lockout," Lennie James,  Joseph Gilgun, Guy Pearce,  Peter Stormare,  Maggie Grace"
1039,24159934,Wanderlust," Justin Theroux,  Jennifer Aniston,  Malin Ã…kerman,  Lauren Ambrose"
1040,127730736,The Woman in Black," Alisa Khazanova, Daniel Radcliffe,  CiarÃ¡n Hinds,  Mary Stockley"
1041,81491068,Frankenweenie,"Charlie Tahan,  Martin Landau,  Winona Ryder,  Catherine O'Hara"
1042,58058367,That's My Boy," Eva Amurri Martino,  Susan Sarandon,  Leighton Meester"
1043,208076205,Safe House," Joel Kinnaman,  Ryan Reynolds,  Vera Farmiga"
1044,47000000,Savages," Benicio del Toro, Blake Lively,  Salma Hayek,  Taylor Kitsch"
1045,46221189,Man on a Ledge," Jamie Bell,  Elizabeth Banks,  Ed Harris, Sam Worthington"
1046,19422261,Seven Psychopaths," Abbie Cornish,  Christopher Walken, Colin Farrell,  Sam Rockwell"
1047,24719215,Big Miracle, Dermot Mulroney
1048,3428048,Disconnect," Michael Nyqvist, Jason Bateman,  Frank Grillo"
1049,12434778,People Like Us,"Chris Pine,  Michelle Pfeiffer,  Elizabeth Banks,  Mark Duplass,  Olivia Wilde"
1050,8493728,Piranha 3DD," Jean-Luc Bilodeau,  Matt Bush, Danielle Panabaker"
1051,85446075,The Possession," Kyra Sedgwick,  Natasha Calis,  Rob LaBelle, Jeffrey Dean Morgan"
1052,52302796,Silent Hill: Revelation 3D," Carrie-Anne Moss, Adelaide Clemens,  Radha Mitchell"
1053,37930465,Killing Them Softly," Ray Liotta, Brad Pitt,  James Gandolfini,  Ben Mendelsohn,  Scoot McNairy"
1054,16863583,The Cold Light of Day," Bruce Willis,  Caroline Goodall, Henry Cavill,  Sigourney Weaver,  VerÃ³nica Echegui"
1055,35485056,Arbitrage,"Richard Gere,  Monica Raymund"
1056,44806783,Red Dawn," Josh Hutcherson,  Jeffrey Dean Morgan,  Adrianne Palicki,  Isabel Lucas, Chris Hemsworth"
1057,54819301,The Three Stooges," SofÃ­a Vergara, Sean Hayes,  Chris Diamantopoulos,  Will Sasso,  Jane Lynch"
1058,114281051,Hope Springs," Tommy Lee Jones,  Steve Carell,  Marin Ireland"
1059,22044277,A Thousand Words," Kerry Washington,  Cliff Curtis,  Allison Janney"
1060,30353232,Alex Cross," Jean Reno,  Giancarlo Esposito, Tyler Perry,  Matthew Fox,  Rachel Nichols"
1061,36893721,One for the Money,"Katherine Heigl,  Debbie Reynolds,  John Leguizamo"
1062,59520298,Quartet, Pauline Collins
1063,107139399,ParaNorman," Casey Affleck,  Jodelle Ferland,  Anna Kendrick,  Tucker Albrizzi"
1064,8138788,Promised Land," Lucas Black,  Frances McDormand"
1065,77112176,Diary of a Wimpy Kid: Dog Days," Zachary Gordon, Devon Bostick,  Peyton List,  Steve Zahn,  Rachael Harris"
1066,9622846,For Greater Glory - The True Story of Cristiada,"Eva Longoria,  Oscar Isaac,  RubÃ©n Blades"
1067,50365377,Red Tails," Daniela Ruah,  Cuba Gooding Jr.,  David Oyelowo,  Terrence Howard"
1068,11417362,Fun Size,"Victoria Justice,  Jane Levy,  Jackson Nicoll,  Josh Pence,  Chelsea Handler"
1069,31083599,Premium Rush," WolÃ© Parks,  Michael Shannon,  Jamie Chung, Joseph Gordon-Levitt,  Dania Ramirez"
1070,13231461,The Words," Dennis Quaid,  Jeremy Irons,  Zoe Saldana, Bradley Cooper"
1071,142817992,Paranormal Activity 4,"Katie Featherston,  Kathryn Newton,  Sprague Grayden,  Matt Shively,  Brady Allen"
1072,8784318,On the Road,"Kristen Stewart,  Sam Riley,  Tom Sturridge,  Garrett Hedlund"
1073,119772232,Parental Guidance," Bette Midler,  Marisa Tomei, Billy Crystal"
1074,96070507,Think Like a Man," Kevin Hart, Michael Ealy,  Jerry Ferrara"
1075,4636169,Fire with Fire," Josh Duhamel, Bruce Willis,  Vincent D'Onofrio,  Rosario Dawson,  50 Cent"
1076,9627492,The Apparition," Sebastian Stan,  Tom Felton,  Luke Pasqualino,  Julianna Guill, Ashley Greene"
1077,6063556,Cosmopolis,"Robert Pattinson,  Juliette Binoche,  Samantha Morton,  Paul Giamatti"
1078,240159255,Resident Evil: Retribution," Sienna Guillory,  Aryana Engineer, Milla Jovovich,  Michelle Rodriguez"
1079,24637469,Sparkle,"Whitney Houston,  Derek Luke,  Carmen Ejogo,  Cee Lo Green,  Mike Epps"
1080,32726956,Katy Perry: Part of Me," Russell Brand,  Shannon Woodward,  Rachael Markarian"
