Institution,Specific Graduate Program,Minimum Score Requirement,City,State
,Master of Arts Program in Climate and Society,2.0,6,0
,7,,6,0
,Graduate School of Journalism,8.5,6,0
,Teacher's College,2.0,6,0
,School of International and Public Affairs,2.0,6,0
,Fu Foundation School of Engineering and Applied Science,,6,0
,11,2.0,6,0
,Business School Master of Science Programs,,6,0
,Business School Doctoral Program,,6,0
Cornell University,,,,
,School of Hotel Administration,1.0,28,0
Dartmouth College,,,,
,11,2.0,29,25
,Tuck School of Business,2.0,29,25
Davenport University,,,,
Delaware State University,,,,
,Master of Arts in Educational Leadership,,30,26
DePaul University,,,,
,College of Liberal Arts and Sciences,11.0,31,27
"Devry University, Addison Campus",,,,
"Devry University, Alahambra Center",,,,
"Devry University, Alpharetta Campus",,,,
"Devry University, Anaheim Center",,,,
"Devry University, Arlington (Crystal City) Campus",,,,
"Devry University, Atlanta Cobb Galleria Center",,,,
"Devry University, Austin Campus",,,,
"Devry University, Bakersfield Center",,,,
"Devry University, Bellevue (Seattle) Center",,,,
"Devry University, Bethesda Center",,,,
"Devry University, Charlotte Campus",,,,
"Devry University, Cherry Hill Center",,,,
"Devry University, Chesapeake (South Hampton Roads) Campus",,,,
"Devry University, Chicago Campus",,,,
"Devry University, Chicago Loop Center",,,,
"Devry University, Chicago O'Hare Center",,,,
"Devry University, Cincinnati Campus",,,,
"Devry University, Colorado Springs Center",,,,
"Devry University, Colton (Inland-Empire) Center",,,,
"Devry University, Columbus Campus",,,,
"Devry University, Columbus North Center",,,,
"Devry University, Daly City Center",,,,
"Devry University, Dayton Center",,,,
"Devry University, Decatur Campus",,,,
"Devry University, Downers Grove Center",,,,
"Devry University, Duluth (Gwinnett) Center",,,,
"Devry University, Edina Campus",,,,
"Devry University, Elgin Center",,,,
"Devry University, Federal Way Campus",,,,
"Devry University, Fremont Campus",,,,
"Devry University, Fresno Campus",,,,
"Devry University, Ft. Lauderdale Center",,,,
"Devry University, Ft. Washington Campus",,,,
"Devry University, Ft. Worth Center",,,,
"Devry University, Glendale Center",,,,
"Devry University, Greenwood Village (Denver South) Center",,,,
"Devry University, Gurnee Center",,,,
"Devry University, Henderson Campus",,,,
"Devry University, Houston Campus",,,,
"Devry University, Houston Galleria",,,,
"Devry University, Indianapolis Center",,,,
"Devry University, Irving Campus",,,,
"Devry University, Jacksonville Campus",,,,
"Devry University, Kansas City Campus",,,,
"Devry University, Kansas City Downtown",,,,
"Devry University, King of Prussia Center",,,,
"Devry University, Long Beach Campus",,,,
"Devry University, Louisville Campus",,,,
"Devry University, Lynnwood Center",,,,
"Devry University, Manassas Center",,,,
"Devry University, Manhattan Center",,,,
"Devry University, Memphis Campus",,,,
"Devry University, Merrillville Center",,,,
"Devry University, Mesa Center",,,,
"Devry University, Miami Center",,,,
"Devry University, Midtown Manhattan Campus",,,,
"Devry University, Milwaukee Campus",,,,
"Devry University, Miramar Campus",,,,
"Devry University, Morrisville Campus",,,,
"Devry University, Naperville Center",,,,
"Devry University, Nashville Campus",,,,
"Devry University, North Brunswick Campus",,,,
"Devry University, Oakland Center",,,,
"Devry University, Oklahoma City Campus",,,,
"Devry University, Orlando Campus",,,,
"Devry University, Orlando North Center",,,,
"Devry University, Oxnard Center",,,,
"Devry University, Palmdale Center",,,,
"Devry University, Paramus Center",,,,
"Devry University, Philadelphia (Center City) Center",,,,
"Devry University, Phoenix Campus",,,,
"Devry University, Pittsburgh Campus",,,,
"Devry University, Pomona Campus",,,,
"Devry University, Portland Campus",,,,
"Devry University, Rego Park (Queens) Center",,,,
"Devry University, Richardson Center",,,,
"Devry University, Sacramento (Elk Grove) Campus",,,,
"Devry University, San Antonio Campus",,,,
"Devry University, San Diego Campus",,,,
"Devry University, Sandy Campus",,,,
"Devry University, San Jose Center",,,,
"Devry University, Seven Hills Campus",,,,
"Devry University, Sherman Oaks Campus",,,,
"Devry University, Southfield Campus",,,,
"Devry University, St. Louis Campus",,,,
"Devry University, St. Louis Park Center",,,,
"Devry University, Stockbridge (Henry County) Center",,,,
"Devry University, Sugar Land (Houston) Center",,,,
"Devry University, Tampa Bay Campus",,,,
"Devry University, Tampa East Center",,,,
"Devry University, Tinley Park Campus",,,,
"Devry University, Waukesha Center",,,,
"Devry University, Westminster Campus",,,,
Doane College,,,,
,Master of Education- Educational Leadership,1.0,68,37
,Master of Arts in Counseling,1.0,68,37
,Master of Education- Curriculum and Development,1.0,68,37
,Initial Program at the Advanced Level for Certification,1.0,68,37
Dominican University,,,,
,Brennan School of Business,1.0,69,27
,Graduate School of Library and Information Sciences,2.0,69,27
,12,2.0,69,27
Drew University,,,,
Drexel University,,,,
Duke University,,,,
,Nicholas School of the Environment,2.0,71,31
,7,2.0,71,31
,Sanford School of Public Policy,2.0,71,31
Eastern University,,,,
,Campolo College Graduate/Professional Studies,0.0,72,16
Emory University,,,,
,Goizueta School of Business,2.0,33,28
,26,,33,28
Fairfield University,,,,
,Dolan School of Business Master of Business Administration,0.0,73,38
,Graduate School of Education and Allied Professions,11.0,73,38
Fairleigh Dickinson University,,,,
Florida Atlantic University,,,,
Florida International University,,,,
,28,0.0,52,32
,School of Hospitality and Tourism Management,0.0,52,32
,29,0.0,52,32
Fordham University,,,,
,School of Social Service,2.0,6,0
,15,2.0,6,0
Framingham State University,,,,
Fuller Theological Seminary,,,,
,Ph.D program,2.0,74,9
Georgetown University,,,,
,McCourt School of Public Policy,5.0,1,2
,McDonough Business School,11.0,1,2
,Edmund Walsh School of Foreign Service,,1,2
,11,2.0,1,2
George Washington University,,,,
,Columbian College of Arts and Sciences,1.0,1,2
,Graduate School of Human Development,1.0,1,2
,31,1.0,1,2
,School of Engineering and Applied Sciences,1.0,1,2
,Elliot School of International Affairs,2.0,1,2
,School of Public Health and Health Services,5.0,1,2
Georgia State University,,,,
,Andrew Young School of Policy Studies,5.0,33,28
,"Department of Modern and Classical Languages MA, French, German and Spanish",,33,28
,College Of Education,12.0,33,28
,32,,33,28
,J. Mack Robinson College of Business,11.0,33,28
,Institute of Public Health,,33,28
Golden Gate University,,,,
Gonzaga University,,,,
Goshen College,,,,
,MS Nursing,12.0,77,3
Harvard Business School,,,,
,Master of Business Administration Programs,2.0,11,7
Henderson State University,,,,
Hofstra University,,,,
Houston Baptist University,,,,
Howard University,,,,
Illinois Institute of Technology,,,,
,Stuart School of Business,,31,27
,36,5.0,31,27
,College of Psychology,,31,27
Illinois State University,,,,
"Indiana University, Bloomington",,,,
"Indiana University, East",,,,
"Indiana University-Purdue University, Fort Wayne",,,,
,Richard Doermer School of Business and Management Sciences,0.0,Fort Wayne,3
,Kelley School of Business,1.0,46,3
Johns Hopkins University,,,,
,Carey Business School,2.0,79,30
,7,2.0,79,30
,Advanced Academic Programs,2.0,79,30
,Bloomberg School of Public Health,2.0,79,30
,School of Arts and Sciences-4610,2.0,79,30
,School of Engineering-4610,5.0,79,30
,School of Medicine (Ph.D.),2.0,79,30
Kent State University,,,,
,The School of Library and Information Science,2.0,80,10
,39,1.0,80,10
,Master of Science in Financial Engineering,10.0,80,10
,40,0.0,80,10
Keuka College,,,,
Lake Erie College,,,,
Lamar University,,,,
Lewis & Clark College,,,,
Loma Linda University,,,,
,School of Allied Health Professions,0.0,81,9
,7,0.0,81,9
,43,0.0,81,9
,School of Science and Technology,0.0,81,9
,13,0.0,81,9
,School of Religion,0.0,81,9
,38,0.0,81,9
"Long Island University, Post",,,,
Loyola Marymount University,,,,
Loyola University Chicago,,,,
Lutheran School of Theology at Chicago,,,,
,Master of Theology,,31,27
Luther Seminary,,,,
,44,2.0,83,17
Manhattan School of Music,,,,
Maryland Institute College of Art,,,,
,Graphic Design,1.0,79,30
,Rinehart School of Sculpture,,79,30
Marywood University,,,,
,Health Sciences,1.0,84,16
,Psychology:,1.0,84,16
,Communication Arts,1.0,84,16
,Nutrition:,1.0,84,16
,Business & Managerial Science,1.0,84,16
Massachusetts Institute of Technology,,,,
,Technology and Policy Program,7.0,85,7
,System Design and Management,7.0,85,7
,Computational and Systems Biology,6.0,85,7
,Economics,5.0,85,7
,Supply Chain Management,,85,7
,Linguistics & Philosophy,12.0,85,7
,46,2.0,85,7
,Computation for Design and Optimization,2.0,85,7
,Department of Urban Studies/Planning,2.0,85,7
,Civil and Environmental Engineering,,85,7
,Center for Real Estate,2.0,85,7
,Comparative Media Studies,2.0,85,7
,Materials Science and Engineering,1.0,85,7
,Nuclear Science & Engineering,2.0,85,7
,Harvard-MIT Division of Health Sciences and Technology,2.0,85,7
,Master of Engineering in Manufacturing,,85,7
,Media Arts and Sciences,2.0,85,7
,Aeronautics and Astronautics,2.0,85,7
,Electrical Engineering and Computer Science,11.0,85,7
,Mechanical Engineering,2.0,85,7
,Department of Architecture,2.0,85,7
,Engineering Systems Division,11.0,85,7
,Biological Engineering,2.0,85,7
,47,2.0,85,7
,32,0.0,85,7
,"Departent of Earth, Atmospheric and Planetary Science",1.0,85,7
,Science Writing,11.0,85,7
,26,2.0,85,7
,MIT-Woods Hole Oceanographic,1.0,85,7
,Department of Mathematics,1.0,85,7
,Sloan School of Management,2.0,85,7
,Department of Brain/Cognitive Science,2.0,85,7
,"History, Anthropology and Sciences, Technology/Society",2.0,85,7
,Operations Research,2.0,85,7
,Microbiology,1.0,85,7
"Mercer University, Main Campus",,,,
Metropolitan State University,,,,
Michigan State University,,,,
Midland Lutheran College,,,,
Milligan College,,,,
Mills College,,,,
Minot State University,,,,
Mississippi State University,,,,
,28,0.0,87,40
,8,10.0,87,40
,39,,87,40
Mississippi University for Women,28,2.0,87,40
Missouri University of Science and Technology,,,,
Montclair State University,,,,
Monterey Institute of International Studies,,,,
,1,1.0,88,9
,Advanced Entry Master of Business Administration,0.0,88,9
New School (The),,,,
,General Studies,2.0,6,0
,Master of Fine Arts Program in Creative Writing,2.0,6,0
,"Milano School of International Affairs, Management, and Urban Policy",2.0,6,0
,20,2.0,6,0
"New York Institute of Technology, Manhattan",,,,
New York Medical College,,,,
,Doctor of Physical Therapy (DTP),2.0,89,0
,Doctor of Public Health in Health Policy and Management (DrPH),9.0,89,0
,"School of Health Sciences and Practice, Master in Public Health",2.0,89,0
New York University,,,,
,"College of Dentistry, Advanced Programs for International Dentists",,6,0
,Tisch School of the Arts,,6,0
,Robert F. Wagner Graduate School of Public Service,,6,0
,School of Professional and Continuing Studies,5.0,6,0
,48,,6,0
,Silver School of Social Work,,6,0
,Gallatin School of Individualized Study,,6,0
Niagara University,,,,
Northeastern Illinois University,,,,
Northeastern University,,,,
,49,0.0,11,7
,50,0.0,11,7
,D'Amore-McKim School of Business,14.0,11,7
,Sciences in Marine Biology,0.0,11,7
,Bouve College of Health Sciences,2.0,11,7
,"College of Arts, Media & Design",5.0,11,7
,School of Journalism,5.0,11,7
,Master of Design for Sustainable Urban Environments (MDes),5.0,11,7
Northern Arizona University,,,,
Northwestern Polytechnic University,,,,
Northwestern University,,,,
,Northwestern Engineering Master of Project Management (MPM),8.0,90,27
,Medill Northwestern University - Graduate Admissions,5.0,90,27
"Northwood University, Florida",,,,
"Northwood University, Michigan",,,,
"Northwood University, Texas",,,,
Nova Southeastern University,,,,
Ohio Dominican University,,,,
Ohio State University,,,,
,Master of Labor and Human Resources,11.0,16,10
,Master of Business Operational Excellence,9.0,16,10
Oral Roberts University,,,,
Oregon Health & Science University,,,,
Pace University,,,,
,Seidenberg School of Computer Science and Information Systems,6.0,6,0
,Lienard School of Nursing,6.0,6,0
,Pace University-Lenox Hill Hospital Physician Assistant Program,6.0,6,0
,Lubin School of Business,6.0,6,0
,Dyson College of Arts and Sciences,6.0,6,0
Pacific Lutheran University,,,,
Pacific University,,,,
,51,5.0,94,36
Palo Alto University,,,,
"Pennsylvania State University, Harrisburg",,,,
,Master of Professional Studies in Engineering Management,12.0,95,16
,52,12.0,95,16
"Pennsylvania State University, University Park",,,,
Pepperdine University,,,,
,School of Public Policy,5.0,96,9
"Purdue University, Calumet",,,,
Regent University,,,,
,15,5.0,97,23
,School of Business & Leadership,5.0,97,23
Rhode Island School of Design,,,,
Rice University,,,,
"Richmond, The American International University in London",,,,
,Master in Art History,,98,
Rider University,,,,
Rollins College,,,,
"Rutgers, The State University of New Jersey, Newark",,,,
Saint Louis University,,,,
Saint Vincent College,,,,
San Diego State University,,,,
San Francisco Art Institute,,,,
,Master of Art,7.0,75,9
San Jose State University,,,,
Santa Clara University,,,,
,Leavey School of Business,5.0,100,9
Seattle University,,,,
Seton Hall University,,,,
,Whitehead School of Diplomacy and International Relations,12.0,South Orange,13
,Master of Arts in Writing Popular Fiction,12.0,102,16
,Art Therapy with Specialization in Counseling,5.0,102,16
Shenandoah University,,,,
SIT Graduate Institute,,,,
Southern Arkansas University,,,,
Spring Hill College,,,,
"St. John's University, Queens",,,,
St. Mary's University,,,,
Stetson University,,,,
"Stony Brook University, State University of New York (SUNY)",,,,
Suffolk University,,,,
Syracuse University,,,,
,Smith College of Engineering and Computer Science,,103,0
,Whitman School of Management,5.0,103,0
,School of Information Studies,,103,0
,College of Visual and Performing Arts,5.0,103,0
,Maxwell School,5.0,103,0
Temple University,,,,
"Temple University, Japan Campus",,,,
"Texas A&M University, College Station",,,,
,Mays Business School,6.0,104,11
"Texas A&M University, Commerce",,,,
,53,4.0,105,11
,Physics,4.0,105,11
,54,4.0,105,11
,Agricultural Education,4.0,105,11
,55,4.0,105,11
,56,4.0,105,11
,Biological Sciences,4.0,105,11
"Texas A&M University, Kingsville",,,,
Texas Christian University,,,,
Trine University,,,,
Tufts University,,,,
,57,5.0,107,7
,Fletcher School of Law and Diplomacy,5.0,107,7
,Cummings School of Veterinary Medicine,,107,7
,"Graduate Arts, Sciences and Engineering",12.0,107,7
Tulane University,,,,
,School of Public Health and Tropical Medicine,,108,42
Union Graduate College,,,,
"University of Alabama, Birmingham",,,,
"University of Alabama, Tuscaloosa",,,,
"University of Alaska, Anchorage",,,,
"University of Alaska, Fairbanks",,,,
University of Arizona,,,,
,Eller College of Management,2.0,110,5
"University of Arkansas, Fayetteville",,,,
University of Arkansas For Medical Sciences,,,,
University of Baltimore,,,,
,International MS in Health Systems,,79,30
,International MS in Applied Psychology,,79,30
"University of California, Berkeley",,,,
"University of California, Davis",,,,
"University of California, Irvine",,,,
"University of California, San Diego",,,,
,Rady School of Management,5.0,112,9
University of Central Arkansas,,,,
University of Central Oklahoma,,,,
,39,,113,35
University of Chicago,,,,
University of Cincinnati,,,,
"University of Colorado, Boulder",,,,
,Journalism (Master's),5.0,114,24
,Business (doctoral),7.0,114,24
,Business (master's in accounting),12.0,114,24
,47,5.0,114,24
,"Technology, Media and Society (ATLAS)",5.0,114,24
,60,3.0,114,24
,Journalism (Doctoral),5.0,114,24
,Ecology and Evolutionary Biology,6.0,114,24
,Mechanical Engineering (Doctoral),5.0,114,24
,54,6.0,114,24
,Civil Engineering,5.0,114,24
,"Molecular, Cellular, and Developmental Biology (MCDB)",5.0,114,24
,Aerospace Engineering,12.0,114,24
,Theater,12.0,114,24
,56,12.0,114,24
,Dance,12.0,114,24
,Telecommunications,5.0,114,24
,46,5.0,114,24
,Environmental Studies,5.0,114,24
,Electrical Engineering,5.0,114,24
,Linguistics,12.0,114,24
,Mechanical Engineering (Master's),12.0,114,24
,53,5.0,114,24
,Spanish,12.0,114,24
,Engineering Management,7.0,114,24
,MBA,5.0,114,24
,Integrative Physiology,5.0,114,24
"University of Colorado, Denver",,,,
University of Connecticut,,,,
,27,7.0,115,38
,33,12.0,115,38
University of Dallas,,,,
,1,12.0,47,11
,MS/Master of Business Administration dual degree program,12.0,47,11
University of Delaware,,,,
,16,,99,26
,3,,99,26
,College of Health Sciences,,99,26
,College of Education and Human Development,,99,26
,"College of Earth, Ocean and Environment",,99,26
,College of Agriculture and Natural Resources,,99,26
,Alfred Lerner College of Business and Economics,7.0,99,26
,"Department of Health, Nutrition, and Exercise Sciences",7.0,99,26
University of Denver,,,,
,University College,6.0,25,24
,Morgridge College of Education,,25,24
,Graduate Tax Program,,25,24
,Korbel School of International Studies,,25,24
,School of Professional Psychology,5.0,25,24
,Arts Humanities and Social Sciences,5.0,25,24
,Daniels College of Business,5.0,25,24
University of Findlay,,,,
,6,,116,10
University of Florida,,,,
,Warrington College of Business Administration,6.0,117,32
University of Georgia,,,,
,J.M. Tull School of of Accounting,12.0,19,28
University of Hartford,,,,
"University of Hawaii, Hilo",,,,
"University of Hawaii, Manoa",,,,
,1,5.0,118,44
University of Houston,,,,
,UH Law Center,5.0,7,11
,College of Hotel Management,,7,11
,55,,7,11
,37,,7,11
,28,,7,11
,Cullen College of Engineering,,7,11
,College of Social Work,,7,11
,62,,7,11
,College of Natural Sciences,,7,11
,51,,7,11
,62,12.0,7,11
"University of Houston, Victoria",,,,
,50,,22,11
University of Indianapolis,,,,
University of Iowa,,,,
,College of Dentistry,5.0,119,45
University of Kansas,,,,
,0,6.0,120,46
University of Kentucky,,,,
University of Louisville,,,,
"University of Maryland, Baltimore",,,,
"University of Maryland, Baltimore County",,,,
"University of Maryland, College Park",,,,
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,,,
"University of Massachusetts, Amherst",,,,
,15,6.0,121,7
,7,,121,7
"University of Massachusetts, Boston",,,,
,63,12.0,11,7
,M.Ed. School of Counseling,,11,7
University of Memphis,,,,
University of Miami,,,,
"University of Michigan, Ann Arbor",,,,
,14,5.0,122,4
,Ross School of Business,5.0,122,4
,Krieger Graduate School of Arts and Sciences and Whiting School of Engineering,5.0,122,4
,64,6.0,122,4
,Rackham School of Graduate Studies,12.0,122,4
,School of Information,5.0,122,4
,42,12.0,122,4
,Public Health,12.0,122,4
,Taubman School - Architecture,5.0,122,4
,Public Policy,12.0,122,4
"University of Michigan, Dearborn",,,,
,6,12.0,123,4
,"College of Arts, Sciences and Letters",6.0,123,4
,College of Engineering and Computer Science,12.0,123,4
"University of Minnesota, Twin Cities",,,,
,School of Journalism and Mass Communication,,15,17
,64,12.0,15,17
,13,5.0,15,17
"University of Missouri, Kansas City",,,,
"University of Nevada, Las Vegas",,,,
"University of Nevada, Reno",,,,
University of New Hampshire,,,,
University of New Haven,,,,
,M.S. Industrial Engineering,6.0,126,38
,M.S. Engineering and Operations Management,6.0,126,38
,Ph.D. Criminal Justice,7.0,126,38
,M.S. Network Systems,6.0,126,38
,M.S. Mechanical Engineering,6.0,126,38
,M.S. in Cellular Molecular Biology,5.0,126,38
,M.S. Electrical Engineering,6.0,126,38
,M.S. Environmental Engineering,6.0,126,38
,M.S. Computer Engineering,6.0,126,38
"University of North Carolina, Chapel Hill",,,,
"University of North Carolina, Charlotte",,,,
"University of North Carolina, Wilmington",,,,
University of North Texas,,,,
University of North Texas Health Science Center,,,,
University of Notre Dame,,,,
University of Oklahoma,,,,
University of Oregon,,,,
,Lundquist College of Business,7.0,128,36
,28,,128,36
,3,,128,36
,School of Architecture and Allied Arts,,128,36
,School of Journalism and Education,,128,36
University of Pennsylvania,,,,
,Master of Biotechnology,7.0,58,16
,Graduate School of Education,5.0,58,16
,Annenberg School of Communications,,58,16
,Fels School of Government,,58,16
,Graduate Division of Arts & Sciences,12.0,58,16
,Graduate School of Design,5.0,58,16
,School of Social Policy and Practice,5.0,58,16
,7,5.0,58,16
,36,,58,16
,School of Engineering & Applied Science,,58,16
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,,,
"University of Phoenix, Arlington Learning Center, Arlington",,,,
"University of Phoenix, Arlington Student Resource Center, Arlington",,,,
"University of Phoenix, Asheville Learning Center, Asheville",,,,
"University of Phoenix, Atlanta Campus, Sandy Springs",,,,
"University of Phoenix, Augusta Campus, Augusta",,,,
"University of Phoenix, Austin Campus, Austin",,,,
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,,,
"University of Phoenix, Baton Rougue Campus, Baton Rouge",,,,
"University of Phoenix, Bay Area - San Francisco Campus, San Jose",,,,
"University of Phoenix, Beachwood Learning Center, Beachwood",,,,
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,,,
"University of Phoenix, Bellevue Learning Center, Bellevue",,,,
"University of Phoenix, Birmingham Campus, Birmingham",,,,
"University of Phoenix, Boston Campus, Braintree",,,,
"University of Phoenix, Brookstone Learning Center, Columbus",,,,
"University of Phoenix, Burlington Learning Center, Burlington",,,,
"University of Phoenix, Cascades Learning Center, Portland",,,,
"University of Phoenix, Cedar Hill Resource Center, Cedar Hill",,,,
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,,,
"University of Phoenix, Central Florida Campus, Maitland",,,,
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,,,
"University of Phoenix, Central Valley Campus, Fresno",,,,
"University of Phoenix, Chandler Learning Center, Chandler",,,,
"University of Phoenix, Charlotte Campus, Charlotte",,,,
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,,,
"University of Phoenix, Charlotte North Learning Center, Charlotte",,,,
"University of Phoenix, Chattanooga Campus, Chattanooga",,,,
"University of Phoenix, Chicago Campus, Schaumburg",,,,
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,,,
"University of Phoenix, Cincinnati Campus, Westchester",,,,
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,,,
"University of Phoenix, Clear Lake Learning Center, Houston",,,,
"University of Phoenix, Cleveland Campus, Independence",,,,
"University of Phoenix, Colorado Campus, Lone Tree",,,,
"University of Phoenix, Colorado Springs Downtown, Colorado Springs",,,,
"University of Phoenix, Columbia South Carolina Campus, Columbia",,,,
"University of Phoenix, Columbus-GA Campus, Columbus",,,,
"University of Phoenix, Columbus Ohio Campus, Columbus",,,,
"University of Phoenix, Concord Learning Center, Concord",,,,
"University of Phoenix, Corona Student Resource Center, Corona",,,,
"University of Phoenix, Covington Learning Center, Covington",,,,
"University of Phoenix, Culver City Learning Center, Culver City",,,,
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,,,
"University of Phoenix, Dallas Campus, Dallas",,,,
"University of Phoenix, Daytona Learning Center, Daytona Beach",,,,
"University of Phoenix, Dekalb Learning Center, Atlanta",,,,
"University of Phoenix, Deleware Campus, Wilmington",,,,
"University of Phoenix, Des Moines Campus, West Des Moines",,,,
"University of Phoenix, Des Peres Learning Center, Des Peres",,,,
"University of Phoenix, Detroit Campus, Troy",,,,
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,,,
"University of Phoenix, Downtown Chicago Learning Center, Chicago",,,,
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,,,
"University of Phoenix, Downtown Minneapolis Learning Center, Minneapolis",,,,
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,,,
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,,,
"University of Phoenix, East El Paso Learning Center, El Paso",,,,
"University of Phoenix, Eastern Washington Campus, Spokane",,,,
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,,,
"University of Phoenix, East Orlando Learning Center, Orlando",,,,
"University of Phoenix, El Centro Learning Center, Imperial",,,,
"University of Phoenix, El Centro Learning Center II, Imperial",,,,
"University of Phoenix, El Centro Learning Center III, El Centro",,,,
"University of Phoenix, Elk Grove Learning Center, Elk Grove",,,,
"University of Phoenix, Escorial Learning Center, Carolina",,,,
"University of Phoenix, Fairfax Learning Center, Fairfax",,,,
"University of Phoenix, Fairfield County Campus, Norwalk",,,,
"University of Phoenix, Fairfield Learning Center, Fairfield",,,,
"University of Phoenix, Flint Learning Center, Flint",,,,
"University of Phoenix, Florence KY Learning Center, Florence",,,,
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,,,
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,,,
"University of Phoenix, Franklin Learning Center, Franklin",,,,
"University of Phoenix, Gardena Learning Center, Gardena",,,,
"University of Phoenix, Greenbelt Learning Center, Greenbelt",,,,
"University of Phoenix, Greensboro Learning Center, Greensboro",,,,
"University of Phoenix, Greenville Learning Center, Greenville",,,,
"University of Phoenix, Gwinnettt Learning Center, Duluth",,,,
"University of Phoenix, Harrisburg Campus, Harrisburg",,,,
"University of Phoenix, Hawaii Campus, Honolulu",,,,
"University of Phoenix, HEAT Center, Aberdeen",,,,
"University of Phoenix, Henderson Learning Center, Henderson",,,,
