"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CIS,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
FRENCH LANGUAGE AND LITERATURE,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CARDIOPULMONARY RESUSCITATION,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ART ,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
CIS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
54063.0,,BIO 141-A0L1,28,,3,10,03:50 PM,20,24,2.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
44490.0,,WLD 171-A001,Blueprint Reading/Welding Lab,3,10,07:45 AM,19,81,108,2.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44915.0,,BIO 135-A0YL,25,,6,19,8,21,25,0.0,43696.0,43814.0
COMMUNICATIONS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
44651.0,0,HIS 104-A0Z1,62,3,1,1,1,1,78,1.0,43696.0,43814.0
ENGLISH,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ART ,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
CIS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
45080.0,,ENG 100-A0H2,57,2,0,10,02:50 PM,53,5,2.0,43696.0,43814.0
NUTRITION AND FOOD SCIENCE,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
CIS,,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
45432.0,9,MAT 150-A006,73,3,2,10,20,41,81,2.0,43696.0,43814.0
CIS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,,
ART ,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44555.0,2,BIO 137-A001,26,4,0,5,24,18,27,2.0,43696.0,43814.0
MUSIC,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
ENERGY SYSTEMS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
ART ,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
CIS,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
