correction,misspell
continue,contunie
amateur,amature
hyphen,hifin
sylph,slyph
distract,distarct
several,seferal
desperate,desparate
Susan,susan
technically,techniquely
phenomenal,phenominal
customization,custamisation
tattoos,tattos
commitment, comittmen
function,fuction
parameters,paramers
raccoon,reccona
believe,beleive
influential,influencial
independent, indepnends
octogenarian,octagenarian
dinosaur,dinasaur
room,roon
not_in,notin
constant, contastant
permissible,permissable
anonymous,anynomous
Nevada,nevade
iterate,interate
boycott,boygot
factorization,factontion
subpoena,subpena
wasting,wadting
unintelligible,unentelegible
layer,lloyer
coping,copping
immediately,imediaetly
under_ladder,underladder
signal,singal
kipper,kippur
however,howaver
spoke,spoak
favour,faver
rudimentary,rudemtry
isotope,isotrop
cosmopolitan,cosmoplyton
amplification,amification
decision,disition
have,havne
court,courst
everything,evething
architecture,aratictature
tough,taff
asymptote,asentote
intelligent,intealignt
incomplete,incompleet
simplicity, simpfilty
asymmetric,asymetric
encapsulation,encapsualtion
turned,tured
privilege, priviledge
defiantly,defenly
aggressive,aggresive
dictionary,ductioneery
extensions,extions
by_by,byby
development,developement
inventions,enventions
sacrilegious,sacreligious
adultery,adultry
niece,neice
club,clob
dissect,disect
inoculate,innoculate
consistent,consident
your,youe
sense,sence
graceful,gracefull
failure,failer
radius,radious
marshal,marshall
subscribed,subjecribed
moving,oving
latest,latext
however, howver
hello,hallo
guts,futs
explicitly,expleyly
changing,changeing
that,taht
circle,cicle
error, erro
amorphous,amourfous
unfortunately, unfortally
initialized,initinized
help, hlp
Stephen,Steffen
opossum,opposim
swimwear,swim_wear
knowing,knawing
parameters, paranets
distort,distart
liquefy,liquify
procedures,proceedures
redesign,redign
voluptuous,volumptuous
flux, flukse
butter, budter
psychologist, sicolagest
intelligent, intellegint
seize,sieze
prefixes,prefices
enhance,enhence
memento,momento
compiler,comiler
noticeably,noticably
ennui,ennuui
psychologist, psicolagest
despair,dispair
hysterical,hystrical
what,whaaat
substitutions,subisitions
commercials,commerciasl
beginning,beggining
dog,dag
situation,situration
rectangle,rectangeles
butter, budr
mosaic,mosaik
interested, intertesd
wimp,whimp
no_one,noone
judgment,judgement
writing,writting
deities,dieties
congratulations,congradulations
colloquialism,colloquilism
respect,respct
embarrass, embaress
documentation,documtations
phone,fone
the, thw
intelligent, intelignt
bush,buch
oscilloscope,oscilascope
majority, majoraly
metaphysical,pataphysical
appreciated,appreceiated
battalion,batallion
accidentally,accidently
enough,enought
indispensable,indispensible
installation,instulation
buoyant,bouyant
embed,imbed
intelligent, intelegent
mischievous,mischievious
weird,wierd
government,goberment
quiz,quoz
exercise,excercise
responsible,reposable
automatically,autoamlly
occupied,occuppied
sneaked,snuck
irresistible,irresistable
insistent, insistenet
browse,bbrose
unnatural, unnaturral
button,buton
obfuscate,obsfuscate
unnatural, unaturral
commitment, comittmend
inconvenience,inconvience
sometimes,sometmes
regardless,irregardless
absorption,absorbtion
theoretically,thredically
style_guide,styleguide
polygamy,poligamy
nuzzled,nozled
mouser,mousr
sugar,suger
harass,harrass
properly,properally
infamy,imfamy
possible,possable
masks,maks
flux,fluk
distant,destint
alcoholic,alchoholic
team,tem
necessary, necesary
john,johhn
spell,spel
neighbour,neighbor
elegant, elligit
portray,protray
psychologist,pscolgst
monkey,minkay
constant,contast
tyranny,tyrrany
critique,criqitue
desiccate,dessicate
pronunciation, pronisation
intelligent, intellagant
insistent,insistant
two,teo
