popularity,title,year,pg_rating,imdb_id,runtime,genre,imdb_rating,votes,gross_us,month
283.647,Mulan,1998,G,120762,88, Family,7.6,257887,120.62,9
11.84,La Haine,1995,Not Rated,113247,98, Drama,8.1,151269,0.31,5
37.141999999999996,Predator,1987,R,93773,107, Sci-Fi,7.8,372517,59.74,6
15.407,Donnie Brasco,1997,R,119008,127,Biography,7.7,280819,41.91,2
8.882,PK,2014,Not Rated,2338151,153, Musical,8.1,163763,10.62,12
15.213,Walk the Line,2005,PG-13,358273,136, Music,7.8,234879,119.52,9
7.471,The Last Picture Show,1971,R,67328,118, Romance,8.0,42764,29.13,10
13.282,The Secret in Their Eyes,2009,R,1305806,129,Drama,8.2,194013,6.39,8
152.609,Parasite,2019,R,6751668,132,Comedy,8.6,565186,53.37,5
11.487,Three Colors: White,1994,R,111507,92,Comedy,7.6,64852,1.46,1
12.413,Blue Velvet,1986,R,90756,120,Drama,7.7,182065,8.55,9
27.980999999999998,Blade Runner,1982,R,83658,117, Thriller,8.1,696121,32.87,6
17.929000000000002,Amélie,2001,R,211915,122, Romance,8.3,705929,33.23,4
9.886000000000001,Little Miss Sunshine,2006,R,449059,101,Comedy,7.8,441013,59.89,7
15.562000000000001,Touch of Evil,1958,PG-13,52311,95, Film-Noir,8.0,98629,2.24,3
15.533,The Graduate,1967,PG,61722,106, Drama,8.0,254430,104.95,12
15.704,Lethal Weapon,1987,R,93409,109,Action,7.6,237559,65.21,3
40.934,The Revenant,2015,R,1663202,156, Adventure,8.0,709085,183.64,12
22.877,Captain Fantastic,2016,R,3553976,118,Comedy,7.9,190709,5.88,7
15.777999999999999,Fear and Loathing in Las Vegas,1998,R,120669,118, Drama,7.6,260387,10.68,5
21.329,City of God,2002,R,317248,130, Drama,8.6,701447,7.56,2
18.381,Loving Vincent,2017,PG-13,3262342,94, Crime,7.8,51077,6.74,6
14.959000000000001,Manhattan,1979,R,79522,96,Comedy,7.9,131724,45.7,4
26.94,Green Book,2018,PG-13,6966692,130, Drama,8.2,383880,85.08,11
23.603,Memento,2000,R,209144,113, Thriller,8.4,1129736,25.54,10
41.738,Back to the Future,1985,PG,88763,116, Sci-Fi,8.5,1062788,210.61,7
9.373,Ordinary People,1980,R,81283,124,Drama,7.7,47295,54.8,9
9.147,Secrets & Lies,1996,R,117589,136,Comedy,8.0,37747,13.42,5
13.665999999999999,Downfall,2004,R,363163,156, History,8.2,332381,5.51,9
20.236,The Big Lebowski,1998,R,118715,117, Crime,8.1,735148,17.5,3
46.266999999999996,Gifted,2017,PG-13,4481414,101,Drama,7.6,100292,24.8,4
107.198,"Monsters, Inc.",2001,G,198781,92, Adventure,8.1,818683,289.92,11
38.677,Sicario,2015,R,3397884,121,Action,7.6,373067,46.89,9
16.862000000000002,Fearless,2006,PG-13,446059,104,Action,7.6,72957,24.63,1
59.27,Zootopia,2016,PG,2948356,108, Comedy,8.0,436017,341.27,2
24.505,Ghostbusters,1984,PG,87332,105, Fantasy,7.8,356413,238.63,6
29.483,Birdman or (The Unexpected Virtue of Ignorance),2014,R,2562232,119,Comedy,7.7,582295,42.34,8
15.94,Saw,2004,R,387564,103, Thriller,7.6,380061,56.0,1
10.967,A Prophet,2009,R,1235166,155,Crime,7.9,93771,2.08,8
14.251,Young Frankenstein,1974,PG,72431,106,Comedy,8.0,143856,86.3,12
12.3,Being There,1979,PG,78841,130, Drama,8.0,65837,30.18,12
74.355,The Little Mermaid,1989,G,97757,83,Animation,7.6,238537,111.54,11
22.319000000000003,Evil Dead II,1987,R,92991,84, Fantasy,7.8,148703,5.92,3
7.471,The Last Picture Show,1971,R,67328,118,Drama,8.0,42764,29.13,10
127.979,Harry Potter and the Prisoner of Azkaban,2004,PG,304141,142,Adventure,7.9,554899,249.36,5
34.716,Hidden Figures,2016,PG,4846340,127,Biography,7.8,202017,169.61,12
13.36,North by Northwest,1959,Approved,53125,136, Thriller,8.3,300245,13.28,7
16.862000000000002,Fearless,2006,PG-13,446059,104, Biography,7.6,72957,24.63,1
36.622,Halloween,1978,R,77651,91, Thriller,7.7,233786,47.0,10
48.218,How to Train Your Dragon,2010,PG,892769,98,Animation,8.1,669262,217.58,3
16.276,Song of the Sea,2014,PG,1865505,93, Drama,8.1,52056,0.86,9
21.629,The Chorus,2004,PG-13,372824,97, Music,7.9,57599,3.64,3
14.102,The Wild Bunch,1969,R,65214,135,Action,7.9,77570,12.06,6
31.162,Saving Private Ryan,1998,R,120815,169, War,8.6,1241046,216.54,7
17.768,Amores Perros,2000,R,245712,154, Thriller,8.1,224396,5.38,6
27.980999999999998,Blade Runner,1982,R,83658,117,Action,8.1,696121,32.87,6
28.189,The Thing,1982,R,84787,109, Sci-Fi,8.1,372672,13.78,10
20.112000000000002,Serenity,2005,PG-13,379786,119, Sci-Fi,7.8,283761,25.51,1
11.448,Once,2007,R,907657,86, Romance,7.8,110897,9.44,3
13.39,The Hustler,1961,Not Rated,54997,134, Sport,8.0,75228,8.28,9
62.85,Kingsman: The Secret Service,2014,R,2802144,129, Adventure,7.7,592071,128.26,12
12.722000000000001,Infernal Affairs,2002,R,338564,101,Action,8.0,118062,0.17,12
16.253,When Harry Met Sally...,1989,R,98635,95, Romance,7.6,196612,92.82,1
14.339,Dog Day Afternoon,1975,R,72890,125, Crime,8.0,236463,50.0,9
25.256999999999998,The Bourne Identity,2002,PG-13,258463,119, Thriller,7.9,510160,121.66,6
22.319000000000003,Evil Dead II,1987,R,92991,84, Comedy,7.8,148703,5.92,3
13.125,It Happened One Night,1934,Approved,25316,105,Comedy,8.1,94465,4.36,2
11.457,"Spring, Summer, Fall, Winter... and Spring",2003,R,374546,103, Romance,8.0,77724,2.38,9
13.222000000000001,The Peanut Butter Falcon,2019,PG-13,4364194,97,Adventure,7.6,67952,13.12,8
6.229,After the Wedding,2006,R,457655,120,Drama,7.7,32091,0.41,2
15.185,Notorious,1946,Not Rated,38787,102, Film-Noir,7.9,92566,10.46,1
5.539,The Lunchbox,2013,PG,2350496,104, Romance,7.8,50730,4.23,9
26.666,Rocky,1976,PG,75148,120,Drama,8.1,520513,117.24,11
12.594000000000001,The Great Escape,1963,Approved,57115,172, History,8.2,225492,12.1,6
12.382,In the Heat of the Night,1967,Approved,61811,110,Crime,7.9,68075,24.38,8
14.595999999999998,Waking Life,2001,R,243017,99,Animation,7.8,60828,2.89,10
51.475,The Shining,1980,R,81505,146, Horror,8.4,902404,44.02,5
25.801,Planet of the Apes,1968,G,63442,112, Sci-Fi,8.0,165487,33.4,7
16.963,Paprika,2006,R,851578,90,Animation,7.7,71781,0.88,10
13.107000000000001,Stardust,2007,PG-13,486655,127, Family,7.6,255676,38.63,8
13.647,My Fair Lady,1964,G,58385,170, Family,7.8,86808,72.0,10
17.651,Argo,2012,R,1024648,120,Biography,7.7,574178,136.03,10
48.413999999999994,Rogue One: A Star Wars Story,2016,PG-13,3748528,133, Sci-Fi,7.8,558889,532.18,12
8.922,The Secret of Kells,2009,Not Rated,485601,75,Animation,7.6,31995,0.69,2
5.055,"4 Months, 3 Weeks and 2 Days",2007,Not Rated,1032846,113,Drama,7.9,56784,1.19,8
13.39,The Hustler,1961,Not Rated,54997,134,Drama,8.0,75228,8.28,9
15.562000000000001,Enter the Dragon,1973,R,70034,102, Crime,7.7,96958,25.0,8
35.865,Life Is Beautiful,1997,PG-13,118799,116, Romance,8.6,626485,57.6,12
12.270999999999999,The Silence of the Lambs,1991,R,102926,118, Drama,8.6,1276668,130.74,2
18.456,"Three Billboards Outside Ebbing, Missouri",2017,R,5027774,115, Crime,8.1,436163,54.51,11
39.491,Dunkirk,2017,PG-13,5013056,106, History,7.8,558627,188.37,7
12.413,Blue Velvet,1986,R,90756,120, Mystery,7.7,182065,8.55,9
5.624,This Is England,2006,Not Rated,480025,101,Crime,7.7,115835,0.33,9
10.315,Blood Simple,1984,R,86979,99, Drama,7.6,88096,2.15,9
12.91,The Girl with the Dragon Tattoo,2009,R,1132620,152,Crime,7.8,209325,10.1,2
16.826,Chinatown,1974,R,71315,130, Thriller,8.1,295543,6.91,6
10.947000000000001,Stalker,1979,Not Rated,79944,162, Sci-Fi,8.2,117713,0.23,5
52.985,Saw,2004,R,387564,103, Mystery,7.6,380061,56.0,10
64.529,The Lord of the Rings: The Return of the King,2003,PG-13,167260,201, Drama,8.9,1648942,377.85,12
25.892,The Departed,2006,R,407887,151,Crime,8.5,1194986,132.38,10
14.511,Patton,1970,GP,66206,172,Biography,7.9,93939,61.7,1
37.152,Jaws,1975,PG,73195,124, Thriller,8.0,544675,260.0,6
124.756,Shrek,2001,PG,126029,90,Animation,7.8,615691,267.67,5
21.816999999999997,American Psycho,2000,R,144084,101,Comedy,7.6,493812,15.07,4
17.408,JFK,1991,R,102138,189,Drama,8.0,142594,70.41,12
11.487,Three Colors: White,1994,R,111507,92, Drama,7.6,64852,1.46,1
48.988,Inception,2010,PG-13,1375666,148,Action,8.8,2076678,292.58,7
10.569,The Battle of Algiers,1966,Not Rated,58946,121, War,8.1,53401,0.06,9
14.532,Sense and Sensibility,1995,PG,114388,136,Drama,7.6,103063,43.18,12
19.822,Isle of Dogs,2018,PG-13,5104604,101,Animation,7.9,140237,32.02,3
29.343000000000004,Watchmen,2009,R,409459,162, Mystery,7.6,502170,107.51,3
28.714000000000002,Reservoir Dogs,1992,R,105236,99,Crime,8.3,922257,2.83,9
31.026,Get Out,2017,R,5052448,104,Horror,7.7,495971,176.04,2
8.105,Nine Queens,2000,R,247586,114, Thriller,7.9,49856,1.22,8
15.09,Vampire Hunter D: Bloodlust,2000,R,216651,103, Action,7.7,29288,0.15,8
83.932,Big Hero 6,2014,PG,2245084,102, Action,7.8,412390,222.53,10
12.449000000000002,Falling Down,1993,R,106856,113, Drama,7.6,172322,40.9,2
15.883,A Fistful of Dollars,1964,R,58461,99, Drama,8.0,198921,14.5,1
17.896,The Name of the Rose,1986,R,91605,130,Crime,7.7,102321,7.15,9
9.421,The Lion in Winter,1968,PG,63227,134, Drama,7.9,29082,22.28,10
115.427,The Lion King,1994,G,110357,88,Animation,8.5,946319,422.78,6
13.645,Wild Tales,2014,R,3011894,122,Comedy,8.1,178119,3.11,8
13.873,In the Name of the Father,1993,R,107207,133, Crime,8.1,157518,25.01,12
40.26,Django Unchained,2012,R,1853728,165, Western,8.4,1364478,162.81,12
9.144,Fiddler on the Roof,1971,G,67093,181, Family,8.0,39629,80.5,11
21.337,Crash,2004,R,375679,112, Thriller,7.7,420299,54.58,7
20.236,The Big Lebowski,1998,R,118715,117,Comedy,8.1,735148,17.5,3
21.701999999999998,Dances with Wolves,1990,PG-13,99348,181, Western,8.0,241089,184.21,3
16.621,Moon,2009,R,1182345,97, Sci-Fi,7.9,335936,5.01,6
84.792,Avatar,2009,PG-13,499549,162, Fantasy,7.8,1121733,760.51,12
12.16,Anatomy of a Murder,1959,Not Rated,52561,161, Mystery,8.0,60029,11.9,7
25.169,The Grand Budapest Hotel,2014,R,2278388,99,Adventure,8.1,711445,59.1,2
12.16,Anatomy of a Murder,1959,Not Rated,52561,161, Drama,8.0,60029,11.9,7
23.603,Memento,2000,R,209144,113,Mystery,8.4,1129736,25.54,10
54.948,Fantasia,1940,G,32455,125, Fantasy,7.7,88916,76.41,11
9.793,Andhadhun,2018,Not Rated,8108198,139,Crime,8.3,72628,1.37,10
283.647,Mulan,1998,G,120762,88, Adventure,7.6,257887,120.62,9
28.538,Man on Fire,2004,R,328107,146,Action,7.7,330624,77.91,4
10.18,The Long Goodbye,1973,R,70334,112, Drama,7.6,26465,0.96,3
11.638,Some Like It Hot,1959,Passed,53291,121, Romance,8.2,244899,25.0,3
38.889,A Star Is Born,2018,R,1517451,136,Drama,7.6,337111,215.29,10
9.401,My Cousin Vinny,1992,R,104952,120,Comedy,7.6,107735,52.93,3
21.589000000000002,The Truman Show,1998,PG,120382,103,Comedy,8.1,944513,125.62,6
9.882,Laura,1944,Passed,37008,88, Mystery,8.0,42864,4.36,10
9.83,A Very Long Engagement,2004,R,344510,133,Drama,7.6,71038,6.17,10
11.982999999999999,Rebecca,1940,Approved,32976,130,Drama,8.1,124454,4.36,3
9.352,Rushmore,1998,R,128445,93, Drama,7.7,169685,17.11,12
33.31,Star Trek,2009,PG-13,796366,127, Sci-Fi,7.9,578198,257.73,5
10.583,Miracle on 34th Street,1947,Not Rated,39628,96, Drama,7.9,41731,2.65,11
15.199000000000002,The Magnificent Seven,1960,Approved,54047,128, Adventure,7.7,87926,4.91,4
6.949,All That Jazz,1979,R,78754,123,Drama,7.9,28334,37.82,12
11.493,What We Do in the Shadows,2014,R,3416742,86,Comedy,7.7,158335,3.33,6
44.958,Jojo Rabbit,2019,PG-13,2584384,108,Comedy,7.9,302603,0.35,10
124.756,Shrek,2001,PG,126029,90, Adventure,7.8,615691,267.67,5
17.995,Inside Man,2006,R,454848,129,Crime,7.6,341397,88.51,3
18.13,Mr. Nobody,2009,R,485947,141, Fantasy,7.8,217164,0.0,11
8.942,The White Ribbon,2009,R,1149362,144, Mystery,7.8,68912,2.22,10
6.542000000000001,The Magdalene Sisters,2002,R,318411,114,Drama,7.7,25990,4.89,9
15.163,Serpico,1973,R,70666,130,Biography,7.7,110398,29.8,12
28.592,The Big Short,2015,R,1596363,130, Comedy,7.8,367533,70.26,12
8.922,The Secret of Kells,2009,Not Rated,485601,75, Adventure,7.6,31995,0.69,2
12.604000000000001,The Passion of Joan of Arc,1928,Passed,19254,114,Biography,8.1,48060,0.02,4
56.56,Mad Max: Fury Road,2015,R,1392190,120, Sci-Fi,8.1,886078,154.06,5
30.313000000000002,The Fault in Our Stars,2014,PG-13,2582846,126, Romance,7.7,345414,124.87,5
17.934,Sing Street,2016,PG-13,3544112,106, Music,7.9,85475,3.24,3
12.729000000000001,Open Your Eyes,1997,R,125659,119, Mystery,7.7,64230,0.37,12
28.736,About Time,2013,R,2194499,123, Fantasy,7.8,305297,15.32,9
52.391000000000005,Batman Begins,2005,PG-13,372784,140, Adventure,8.2,1312835,206.85,6
12.437000000000001,Serenity,2005,PG-13,379786,119, Sci-Fi,7.8,283761,25.51,9
34.704,V for Vendetta,2005,R,434409,132, Sci-Fi,8.2,1035933,70.51,2
8.026,Naked,1993,Not Rated,107653,132,Comedy,7.8,34789,1.77,9
74.355,The Little Mermaid,1989,G,97757,83, Fantasy,7.6,238537,111.54,11
35.41,My Neighbor Totoro,1988,G,96283,86, Fantasy,8.2,293222,1.11,4
16.682000000000002,The Usual Suspects,1995,R,114814,106, Thriller,8.5,994865,23.34,7
13.14,The World's Fastest Indian,2005,PG-13,412080,127, Sport,7.8,52067,5.13,10
36.192,Mary Poppins,1964,G,58331,139, Fantasy,7.8,158578,102.27,8
15.159,Match Point,2005,R,416320,124, Romance,7.6,206754,23.09,10
21.818,Rush,2013,R,1979320,123, Biography,8.1,434359,26.95,9
14.001,Dazed and Confused,1993,R,106677,102,Comedy,7.6,166243,7.99,9
17.768,Amores Perros,2000,R,245712,154,Drama,8.1,224396,5.38,6
8.824,"Lock, Stock and Two Smoking Barrels",1998,R,120735,107,Action,8.2,536919,3.9,3
25.930999999999997,Ghost in the Shell,1995,TV-MA,113568,83, Action,8.0,129812,0.52,11
16.117,Cinema Paradiso,1988,R,95765,155,Drama,8.5,231978,11.99,11
16.2,Shoplifters,2018,R,8075192,121,Crime,7.9,63563,3.31,6
127.979,Harry Potter and the Prisoner of Azkaban,2004,PG,304141,142, Fantasy,7.9,554899,249.36,5
19.167,12 Angry Men,1957,Approved,50083,96,Crime,9.0,693432,4.36,4
23.014,District 9,2009,R,1136608,112, Thriller,7.9,639406,115.65,8
14.495999999999999,Control,2007,R,421082,122,Biography,7.7,61739,0.87,9
15.777999999999999,Fear and Loathing in Las Vegas,1998,R,120669,118, Comedy,7.6,260387,10.68,5
7.006,The Conformist,1970,R,65571,113,Drama,8.0,27251,0.54,10
91.05,King Kong,1933,Passed,24216,100,Adventure,7.9,79280,10.0,12
16.207,Letters from Iwo Jima,2006,R,498380,141,Action,7.9,154270,13.76,12
13.177,Ran,1985,R,89881,162, War,8.2,113074,4.14,6
77.528,Titanic,1997,PG-13,120338,194,Drama,7.8,1050317,659.33,11
8.105,Nine Queens,2000,R,247586,114,Crime,7.9,49856,1.22,8
51.533,Baby Driver,2017,R,3890160,113, Drama,7.6,442137,107.83,6
24.783,E.T. the Extra-Terrestrial,1982,PG,83866,115, Sci-Fi,7.8,373646,435.11,6
26.243000000000002,Drive,2011,R,780504,100,Crime,7.8,573717,35.06,6
13.647,My Fair Lady,1964,G,58385,170, Musical,7.8,86808,72.0,10
11.982999999999999,Rebecca,1940,Approved,32976,130, Mystery,8.1,124454,4.36,3
15.533,The Graduate,1967,PG,61722,106,Comedy,8.0,254430,104.95,12
22.938000000000002,The Fugitive,1993,PG-13,106977,130,Action,7.8,268497,183.88,8
14.557,The Princess Bride,1987,PG,93779,98, Fantasy,8.0,395093,30.86,9
26.918000000000003,Boyz n the Hood,1991,R,101507,112,Crime,7.8,126643,57.5,7
11.547,Dangal,2016,Not Rated,5074352,161, Drama,8.4,157650,12.39,12
19.405,Mystic River,2003,R,327056,138, Mystery,7.9,420612,90.14,1
37.801,Casino Royale,2006,PG-13,381061,144, Adventure,8.0,583691,167.45,11
64.697,The Exorcist,1973,R,70047,122,Horror,8.0,363161,232.91,5
19.171,Lion,2016,PG-13,3741834,118,Biography,8.0,215106,51.74,1
14.511,Patton,1970,GP,66206,172, Drama,7.9,93939,61.7,1
43.495,Pulp Fiction,1994,R,110912,154,Crime,8.9,1834079,107.93,9
6.01,No Man's Land,2001,R,283509,98,Comedy,7.9,44779,1.06,9
9.539,The Quiet Man,1952,Passed,45061,129, Drama,7.7,34792,10.55,7
11.571,Persepolis,2007,PG-13,808417,96, Biography,8.0,88868,4.45,6
26.94,Green Book,2018,PG-13,6966692,130, Comedy,8.2,383880,85.08,11
107.301,Interstellar,2014,PG-13,816692,169,Adventure,8.6,1521545,188.02,11
11.42,Good Bye Lenin!,2003,R,301357,121,Comedy,7.7,138284,4.06,2
13.655,The King's Speech,2010,R,1504320,118, History,8.0,641448,138.8,9
61.926,Tangled,2010,PG,398286,100, Comedy,7.7,407322,200.82,11
39.29,Willy Wonka & the Chocolate Factory,1971,G,67992,100,Family,7.8,179345,4.0,6
11.487,Three Colors: White,1994,R,111507,92, Romance,7.6,64852,1.46,1
17.307000000000002,Wind River,2017,R,5362988,107, Mystery,7.7,207679,33.8,8
62.695,Ponyo,2008,G,876563,101, Adventure,7.7,126134,15.09,7
16.45,In the Mood for Love,2000,PG,118694,98,Drama,8.1,125262,2.73,9
12.162,The Kid,1921,Passed,12349,68,Comedy,8.3,114056,5.45,1
54.919,Aladdin,1992,G,103639,90, Comedy,8.0,374928,217.35,11
13.127,Modern Times,1936,G,27977,87, Family,8.5,218953,0.16,2
13.696,The Remains of the Day,1993,PG,107943,134, Romance,7.8,66361,22.95,11
27.774,Her,2013,R,1798709,126, Sci-Fi,8.0,543415,25.57,12
12.03,Papillon,1973,R,70511,151,Biography,8.0,121899,53.27,12
9.788,The Experiment,2001,R,250258,120, Thriller,7.7,90952,0.14,3
64.15,Finding Nemo,2003,G,266543,100, Comedy,8.1,952766,380.84,5
15.288,Amadeus,1984,R,86879,160,Biography,8.3,370295,51.97,9
8.105,Nine Queens,2000,R,247586,114, Drama,7.9,49856,1.22,8
79.017,Logan,2017,R,3315342,137, Drama,8.1,651202,226.28,2
8.886000000000001,Lagaan: Once Upon a Time in India,2001,PG,169102,224,Drama,8.1,105356,0.07,6
8.372,Fireworks,1997,--,119250,103,Crime,7.8,27838,0.23,11
9.43,The Killing Fields,1984,R,87553,141, History,7.8,51774,34.7,11
8.249,The Holy Mountain,1973,R,71615,114, Drama,7.9,37468,0.06,11
120.245,Fantastic Planet,1973,PG,70544,72,Animation,7.8,25543,0.19,12
26.275,The Last Samurai,2003,R,325710,154, Drama,7.7,401185,111.11,1
17.329,Rebecca,1940,Approved,32976,130, Romance,8.1,124454,4.36,10
152.609,Parasite,2019,R,6751668,132, Drama,8.6,565186,53.37,5
12.357999999999999,Glengarry Glen Ross,1992,R,104348,100, Mystery,7.7,96138,10.73,9
14.397,Lucky Number Slevin,2006,R,425210,110, Drama,7.7,299936,22.49,2
21.818,Rush,2013,R,1979320,123,Action,8.1,434359,26.95,9
42.67100000000001,Apocalypto,2006,R,472043,139,Action,7.8,291741,50.87,12
91.80799999999999,Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,926084,146, Fantasy,7.7,481336,295.98,10
35.205999999999996,Only the Brave,2017,PG-13,3829920,134, Biography,7.6,58818,18.34,9
10.882,True Romance,1993,R,108399,119,Crime,7.9,207640,12.28,9
31.811999999999998,First Blood,1982,R,83944,93, Adventure,7.7,227289,47.21,10
8.622,True Grit,2010,PG-13,1403865,110, Western,7.6,312868,171.24,6
17.792,Vertigo,1958,PG,52357,128,Mystery,8.3,365929,3.2,5
33.304,The Thing,1982,R,84787,109, Mystery,8.1,372672,13.78,6
10.18,The Long Goodbye,1973,R,70334,112,Comedy,7.6,26465,0.96,3
35.653,The Irishman,2019,R,1302006,209,Biography,7.9,327815,7.0,11
11.136,Strangers on a Train,1951,PG,44079,101,Crime,7.9,123640,7.63,6
11.703,The Right Stuff,1983,PG,86197,193, Biography,7.8,56361,21.5,10
33.442,Nightcrawler,2014,R,2872718,117,Crime,7.9,469095,32.38,10
14.18,Gandhi,1982,PG,83987,191, History,8.0,218110,52.77,11
10.857999999999999,The Return,2003,Not Rated,376968,110,Drama,8.0,42584,0.5,6
8.131,The Jungle Book,1967,G,61852,78,Animation,7.6,166957,141.84,12
23.014,District 9,2009,R,1136608,112, Sci-Fi,7.9,639406,115.65,8
13.165,The Wrestler,2008,R,1125849,109,Drama,7.9,289940,26.24,9
10.613,Hamlet,1996,PG-13,116477,242,Drama,7.7,36061,4.41,12
11.347999999999999,The Last King of Scotland,2006,R,455590,123,Biography,7.7,175834,17.61,1
20.954,The Raid 2,2014,R,2265171,150, Crime,8.0,114597,2.63,3
26.88,Pan's Labyrinth,2006,R,457430,118, War,8.2,620556,37.63,8
29.633000000000003,2001: A Space Odyssey,1968,G,62622,149,Adventure,8.3,605833,56.95,4
